CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2/3/2015,-3,-10,-17,-6,-9,-17,88,78,68,1023,1019,1015,16,10,0,24,9,29,2.29,7,Fog-Snow,216
2/4/2015,-4,-9,-16,-5,-11,-20,96,79,61,1030,1021,1015,16,9,2,32,17,39,0.51,7,Snow,336
2/5/2015,-9,-14,-19,-16,-19,-22,86,69,51,1034,1030,1025,16,16,16,32,14,40,0,2,,257
2/6/2015,-1,-6,-11,-5,-10,-15,88,73,57,1024,1021,1014,16,16,16,29,14,42,0,6,,204
2/7/2015,5,-1,-8,2,-2,-7,100,85,70,1014,1008,1003,16,14,8,26,12,34,0,6,,197
2/8/2015,4,0,-4,2,-1,-4,100,93,85,1016,1009,1001,16,7,3,37,16,47,0.25,8,Rain-Snow,3
2/9/2015,-3,-5,-7,-5,-7,-9,100,84,68,1025,1022,1016,16,15,10,34,20,40,T,7,Snow,1
2/10/2015,1,-4,-10,-7,-8,-10,81,69,56,1025,1023,1017,16,16,16,32,13,39,0,7,,79
2/11/2015,2,-3,-8,-2,-6,-14,85,73,60,1020,1017,1014,16,14,6,37,21,45,T,7,,276
2/12/2015,-8,-11,-13,-14,-18,-21,67,57,47,1033,1030,1021,16,16,8,45,21,55,T,4,Snow,327
2/13/2015,-3,-9,-15,-8,-13,-19,83,72,61,1031,1022,1012,16,16,16,34,17,42,T,6,Snow,236
2/14/2015,-3,-10,-17,-7,-16,-25,77,61,45,1033,1018,1008,16,12,2,61,31,77,T,6,Snow,328
2/15/2015,-9,-14,-19,-14,-18,-26,76,64,51,1036,1033,1030,16,11,2,34,15,40,0.76,7,Snow,58
2/16/2015,-8,-11,-15,-14,-19,-22,67,52,36,1030,1022,1016,16,16,14,19,8,23,0,8,,194
2/17/2015,-7,-10,-13,-11,-14,-19,80,67,54,1016,1014,1012,16,13,3,32,20,39,T,7,Snow,281
2/18/2015,-13,-16,-19,-19,-22,-27,79,64,49,1026,1019,1012,16,14,6,42,24,52,T,4,Snow,305
2/19/2015,-16,-19,-22,-24,-26,-28,65,55,44,1030,1029,1026,16,16,16,37,18,43,0,1,,299
2/20/2015,-8,-14,-22,-13,-18,-24,76,63,49,1030,1021,1015,16,13,3,39,21,47,0.25,7,Snow,186
2/21/2015,0,-4,-8,-6,-8,-12,77,68,58,1022,1016,1013,16,13,11,19,7,24,T,8,Snow,229
2/22/2015,-2,-9,-17,-7,-16,-23,75,60,45,1040,1031,1022,16,16,11,35,21,39,T,5,Snow,325
2/23/2015,-11,-16,-20,-22,-23,-26,62,50,38,1042,1036,1026,16,16,16,34,16,40,0,1,,282
2/24/2015,-2,-8,-16,-6,-13,-21,75,63,50,1024,1010,1006,16,14,3,42,26,56,0.25,5,Snow,246
2/25/2015,-3,-8,-12,-8,-12,-19,92,67,42,1018,1016,1011,16,8,1,24,13,32,4.32,6,Snow,20
2/26/2015,-7,-12,-18,-10,-14,-22,88,69,49,1032,1022,1016,16,6,1,32,20,37,4.32,6,Fog-Snow,2
2/27/2015,-10,-14,-19,-20,-21,-23,72,59,46,1040,1037,1032,16,16,16,23,13,27,0,0,,275
2/28/2015,-6,-14,-23,-10,-17,-25,91,65,39,1042,1037,1032,16,13,4,21,9,24,0.51,4,Snow,173
3/1/2015,-4,-8,-12,-8,-11,-14,92,80,67,1031,1028,1025,16,11,3,27,11,37,T,5,Snow,252
3/2/2015,1,-5,-11,-7,-11,-14,80,60,39,1034,1030,1024,16,16,16,24,12,29,0,5,,234
3/3/2015,1,-2,-4,-1,-4,-9,92,78,63,1024,1010,1003,16,8,1,37,21,47,3.3,8,Rain-Snow,198
3/4/2015,-1,-6,-12,-5,-14,-19,81,60,39,1029,1021,1011,16,16,16,37,22,50,0,6,,304
3/5/2015,-9,-12,-16,-19,-20,-22,69,56,42,1035,1033,1029,16,16,16,26,15,37,0,2,,296
3/6/2015,-3,-10,-18,-8,-13,-20,83,69,54,1034,1027,1021,16,16,14,39,21,48,0,3,,209
3/7/2015,7,1,-4,-2,-4,-8,82,68,53,1021,1018,1015,16,15,11,32,17,39,0,3,,254
3/8/2015,4,1,-2,-1,-3,-4,85,70,54,1024,1022,1020,16,16,16,26,11,32,0,5,,250
3/9/2015,10,3,-4,2,-2,-6,92,69,45,1023,1021,1019,16,15,6,23,10,27,0,1,,209
3/10/2015,11,6,2,5,3,1,100,83,66,1019,1016,1014,13,4,0,23,11,29,0,6,Fog,216
3/11/2015,11,5,-1,3,-1,-6,100,67,34,1031,1024,1017,16,11,4,26,10,31,0,0,,3
3/12/2015,13,6,-2,-1,-2,-4,78,57,35,1033,1031,1027,16,16,16,29,14,35,0,2,,134
3/13/2015,18,11,3,6,1,-2,80,54,28,1027,1021,1015,16,16,16,21,9,26,0,7,,201
3/14/2015,16,9,3,6,2,-1,82,61,39,1023,1017,1015,16,16,13,42,20,50,0,4,,325
3/15/2015,17,8,-2,3,1,-3,92,64,36,1025,1021,1015,16,16,16,39,17,48,0,4,,222
3/16/2015,23,14,6,8,3,1,83,59,35,1015,1012,1006,16,16,16,48,20,63,0,6,,256
3/17/2015,7,3,-2,3,-5,-12,86,57,27,1028,1023,1015,16,16,16,48,23,64,0,6,,35
3/18/2015,10,4,-2,-7,-9,-13,69,45,21,1028,1026,1024,16,16,16,23,8,27,0,7,,194
3/19/2015,8,6,3,-2,-8,-11,60,43,25,1025,1023,1019,16,16,16,35,13,42,0,8,,101
3/20/2015,10,7,3,3,1,-2,85,71,56,1020,1018,1016,16,15,10,29,14,37,0,6,,225
3/21/2015,9,5,0,3,0,-4,92,73,53,1024,1020,1014,16,13,6,34,16,47,0,3,,43
3/22/2015,2,-1,-3,-3,-7,-11,85,64,43,1027,1026,1024,16,13,2,29,18,39,0.51,6,Snow,52
3/23/2015,-1,-1,-2,-3,-4,-6,92,85,78,1026,1025,1023,16,6,0,27,17,43,15.49,8,Fog-Snow,74
3/24/2015,3,-2,-7,-3,-6,-9,88,68,47,1026,1023,1013,16,16,13,35,18,39,1.02,6,Rain,95
3/25/2015,5,3,2,2,1,-2,100,87,73,1018,1013,1008,16,9,2,35,18,45,6.35,8,Rain,253
3/26/2015,6,3,-1,-2,-4,-8,82,66,50,1019,1016,1014,16,16,16,27,18,40,0,7,,309
3/27/2015,-1,-3,-6,-4,-9,-13,84,64,43,1024,1021,1018,16,11,3,37,19,47,1.02,5,Snow,21
3/28/2015,2,-2,-7,-9,-12,-14,74,52,29,1028,1026,1024,16,16,16,24,12,31,0,0,,51
3/29/2015,8,2,-4,3,-4,-10,79,63,47,1025,1015,1007,16,14,6,48,24,58,0.25,6,Rain-Snow,210
3/30/2015,16,9,1,2,-1,-3,76,54,32,1018,1014,1007,16,16,16,35,17,48,T,5,,275
3/31/2015,14,9,4,4,2,0,93,67,40,1015,1011,1005,16,15,5,37,14,47,0,5,,330
4/1/2015,22,12,2,3,2,0,89,58,26,1018,1014,1009,16,16,14,45,19,55,0,2,,188
4/2/2015,18,14,10,12,7,0,93,67,40,1011,1006,1004,16,14,6,37,18,45,9.14,7,Rain,239
4/3/2015,12,6,-1,1,-2,-3,92,65,38,1022,1015,1009,16,16,16,35,17,42,T,6,Rain,354
